uid,kind,title,coverTitle,score,overlap%,status,publisher
"IH-ENG-0241","표지불일치","신사고 기본영어 필수문법편","2027 에듀윌 9급공무원 기본서 영어 문법","0","0","found","좋은책신사고"
"IH-ENG-0610","표지불일치","쎄듀 특급 (단기독해/듣기)","특단 구문독해","0","0","found","쎄듀"
"IH-ENG-0614","표지불일치","Wordly Wise 3000","WORD bridge 3600 STEP3 발전편","0","0","found","해외원서(특목고)"
"IH-ENG-0634","표지불일치","거로보카 (수능·편입 고난도)","고백서: 고급영어백서","0","0","needs_review","기타(보강)"
"IH-ENG-0607","표지불일치","구문현답 (메가 이명학)","메가스터디 고등 영어 1일 1구문","4","0","found","메가스터디북스"
"IH-ENG-0626","표지불일치","Penguin Readers (원서 리딩)","Reading Farm 리딩팜 4","4","0","found","해외원서(특목고)"
"IH-ENG-0226","표지불일치","컨셉 구문독해","EBSi 강의교재 수능개념 영어영역 이아영의 개념부터 시작하는 마법구문독해","7","0","found","좋은책신사고"
"IH-ENG-0229","표지불일치","컨셉 실전독해","A+ 수능 ASAP 아삽 실전독해편 (2010년)","7","0","found","좋은책신사고"
"IH-ENG-0387","표지불일치","컨셉 영어독해 기본모의고사 15회","해커스 수능영어독해 미니 모의고사 12+2회 기본","7","0","found","좋은책신사고"
"IH-ENG-0388","표지불일치","컨셉 영어독해 종합모의고사 15회","EBS 인터넷 수능 영어영역 영어독해연습 1 종합편 (2015년) + 2016 수능실감 쎄듀 EBS 변형 FINAL 독해 모의고사 8회 (2015년)","7","0","found","좋은책신사고"
"IH-ENG-0264","표지불일치","룩북","하루 10분이면 수학 완성 (3단계)","14","0","found","천재교육"
"IH-ENG-0077","표지불일치","I See Grammar 1-4","Brain Reading  3권  초 4","18","0","found","기존마스터후보"
"IH-ENG-0234","표지불일치","영어독해 기본모의고사 15회","해커스 수능영어독해 미니 모의고사 12+2회 기본","28","0","found","좋은책신사고"
"IH-ENG-0236","표지불일치","영어독해 종합모의고사 15회","EBS 인터넷 수능 영어영역 영어독해연습 1 종합편 (2015년) + 2016 수능실감 쎄듀 EBS 변형 FINAL 독해 모의고사 8회 (2015년)","28","0","found","좋은책신사고"
"IH-ENG-0053","표지불일치","그래머 잽 (입문/기본/심화)","능률 그래머존 GRAMMAR ZONE 기본편 1","29","0","found","천재교육"
"IH-ENG-0428","표지불일치","Reading Booster <기본> 영어독해 모의고사 10+2회","해커스 토익 실전 1000제 1 RC Reading (리딩) 문제집","32","14","found","YBM"
"IH-ENG-0422","표지불일치","핵심으로 직진하는 구문비법 <기본>/<핵심>","핵직구 핵심","4","20","found","YBM"
"IH-ENG-0238","표지불일치","그래머 중학 영문법 개념마스터 Lv.1","그래머 마스터 grammar master Level 3 Basic","25","20","found","좋은책신사고"
"IH-ENG-0239","표지불일치","그래머 중학 영문법 문제마스터 Lv.1","그래머 마스터 grammar master Level 3 Basic","25","20","found","좋은책신사고"
"IH-ENG-0471","표지불일치","WORD POT 수능 어휘 빈출어람","Test Your Word Power","28","20","found","YBM"
"IH-ENG-0560","표지불일치","N기출 영어영역 고3 평가원·수능","N기출 선택과목 집중 수능기출 모의고사 22회 수학영역 확률과 통계 (2025년용)","29","20","found","미래엔"
"IH-ENG-0252","표지불일치","초비출 영단어 고교 필수","초초빈출 손바닥 영단어","4","25","found","좋은책신사고"
"IH-ENG-0253","표지불일치","초비출 영단어 수능 필수","초초빈출 손바닥 영단어","4","25","found","좋은책신사고"
"IH-ENG-0232","표지불일치","컨셉 영어듣기 기본모의고사 30회","LISTENING BOOSTER 리스닝 부스터 기본 수능 듣기유형분석 &amp; 영어듣기 모의고사 20회","7","25","found","좋은책신사고"
"IH-ENG-0233","표지불일치","컨셉 영어듣기 유형모의고사 25회","LISTENING BOOSTER 리스닝 부스터 기본 수능 듣기유형분석 &amp; 영어듣기 모의고사 20회","7","25","found","좋은책신사고"
"IH-ENG-0643","표지불일치","GRE 어휘 (Barron's/Manhattan)","Usher iBT TOEFL VOCABULARY 어셔 토플 어휘","7","25","needs_review","해외원서(특목고)"
"IH-ENG-0612","표지불일치","Reading Town (리딩 타운)","Reading Studies for Guitar","10","25","found","기타(보강)"
"IH-ENG-0621","표지불일치","Reading Explorer (NatGeo/Cengage)","Primer 특목고 영어 독해(Reading) (2008년)","10","25","found","해외원서(특목고)"
"IH-ENG-0256","표지불일치","초비출 영단어 중학 발전","무한도전 중학영단어 2 발전","12","25","found","좋은책신사고"
"IH-ENG-0041","표지불일치","이그잼 듣기모의고사 25회 Lv.1","이그잼 Exam 중학 영문법 1500제 Level 1","25","25","found","좋은책신사고"
