materialUid,part,skill,publisher,title,series,grade,ageLabel,pickComment
IH-ENG-0613,어휘,어휘,해외원서(특목고),Vocabulary Workshop (Sadlier-Oxford),Vocabulary Workshop,중3-고3,만 15~18세,"만 15~18세 / 중3-고3 · 어휘 실력~수능 교재. 유학·심화·원서·영어권 학습 목적에 적합, 단어·어휘문맥 보강."
IH-ENG-0614,어휘,어휘,해외원서(특목고),Wordly Wise 3000,Wordly Wise 3000,중1-고2,만 13~17세,"만 13~17세 / 중1-고2 · 어휘 실력~수능 교재. 유학·심화·원서·영어권 학습 목적에 적합, 단어·어휘문맥 보강."
IH-ENG-0615,어휘,어휘,해외원서(특목고),4000 Essential English Words,4000 Essential English Words,중1-고3,만 13~18세,"만 13~18세 / 중1-고3 · 어휘 실력~수능 교재. 원서·영어권 학습·유학·심화 목적에 적합, 단어·어휘문맥 보강."
IH-ENG-0616,어휘,어휘,해외원서(특목고),Word Smart (Princeton Review),Word Smart,고1-고3,만 16~18세,"만 16~18세 / 고1-고3 · 어휘 수능·심화 교재. 유학·심화·고난도 도전 목적에 적합, 단어·어휘문맥 보강."
IH-ENG-0617,어휘,어휘,해외원서(특목고),Merriam-Webster's Vocabulary Builder,MW Vocabulary Builder,고1-고3,만 16~18세,"만 16~18세 / 고1-고3 · 어휘 수능·심화 교재. 유학·심화·원서·영어권 학습 목적에 적합, 단어·어휘문맥 보강."
IH-ENG-0618,어휘,어휘,해외원서(특목고),Direct Hits Core Vocabulary (SAT),Direct Hits,고2-고3,만 17~18세,"만 17~18세 / 고2-고3 · 어휘 수능·심화 교재. 유학·심화·고난도 도전 목적에 적합, 단어·어휘문맥 보강."
IH-ENG-0619,문법,문법,해외원서(특목고),"Grammar in Use (Cambridge, Murphy)",Grammar in Use,중3-고3,만 15~18세,"만 15~18세 / 중3-고3 · 문법 실력~수능 교재. 유학·심화·원서·영어권 학습 목적에 적합, 문법기초·품사/문장성분 보강."
IH-ENG-0620,문법,문법,해외원서(특목고),Understanding and Using English Grammar (Azar),Azar Grammar,고1-고3,만 16~18세,"만 16~18세 / 고1-고3 · 문법 수능·심화 교재. 유학·심화·원서·영어권 학습 목적에 적합, 품사/문장성분·어법선지 보강."
IH-ENG-0621,독해,독해,해외원서(특목고),Reading Explorer (NatGeo/Cengage),Reading Explorer,중3-고3,만 15~18세,"만 15~18세 / 중3-고3 · 독해 실력~수능 교재. 원서·영어권 학습·배경지식 확장 목적에 적합, 배경지식·추론/논리 보강."
IH-ENG-0622,종합,종합,해외원서(특목고),Q: Skills for Success (Oxford),Q Skills for Success,중3-고3,만 15~18세,"만 15~18세 / 중3-고3 · 종합 실력~수능 교재. 원서·영어권 학습·유학·심화 목적에 적합, 독해기초·영작 보강."
IH-ENG-0623,종합,종합,해외원서(특목고),Unlock (Cambridge),Unlock,중3-고3,만 15~18세,"만 15~18세 / 중3-고3 · 종합 실력~수능 교재. 원서·영어권 학습·유학·심화 목적에 적합, 독해기초·영작 보강."
IH-ENG-0624,종합,종합,해외원서(특목고),NorthStar (Pearson),NorthStar,고1-고3,만 16~18세,"만 16~18세 / 고1-고3 · 종합 수능·심화 교재. 원서·영어권 학습·유학·심화 목적에 적합, 독해기초·영작 보강."
IH-ENG-0625,독해(확장),문학/스토리,해외원서(특목고),Oxford Bookworms Library (원서 리딩),Oxford Bookworms,중1-고3,만 13~18세,"만 13~18세 / 중1-고3 · 문학/스토리 실력~수능 교재. 원서·영어권 학습·배경지식 확장 목적에 적합, 독해기초·배경지식 보강."
IH-ENG-0626,독해(확장),문학/스토리,해외원서(특목고),Penguin Readers (원서 리딩),Penguin Readers,중1-고3,만 13~18세,"만 13~18세 / 중1-고3 · 문학/스토리 실력~수능 교재. 원서·영어권 학습·배경지식 확장 목적에 적합, 독해기초·배경지식 보강."
IH-ENG-0627,쓰기,쓰기,해외원서(특목고),The Elements of Style (Strunk & White),The Elements of Style,고1-고3,만 16~18세,"만 16~18세 / 고1-고3 · 쓰기 수능·심화 교재. 유학·심화·원서·영어권 학습 목적에 적합, 영작·서술형 보강."
IH-ENG-0628,쓰기,쓰기,해외원서(특목고),They Say / I Say (학술 글쓰기),They Say I Say,고1-고3,만 16~18세,"만 16~18세 / 고1-고3 · 쓰기 수능·심화 교재. 유학·심화·토론·논술 목적에 적합, 영작·추론/논리 보강."
IH-ENG-0629,쓰기,쓰기,해외원서(특목고),Longman Academic Writing Series,Longman Academic Writing,고1-고3,만 16~18세,"만 16~18세 / 고1-고3 · 쓰기 수능·심화 교재. 유학·심화·원서·영어권 학습 목적에 적합, 영작·서술형 보강."
IH-ENG-0630,실전,모의/기출,해외원서(특목고),The Official SAT Study Guide (College Board),Official SAT Study Guide,고2-고3,만 17~18세,"만 17~18세 / 고2-고3 · 모의/기출 수능·심화 교재. 유학·심화·고난도 도전 목적에 적합, 기출분석·시간관리 보강."
IH-ENG-0631,실전,모의/기출,해외원서(특목고),Barron's AP English Language,Barron's AP English,고2-고3,만 17~18세,"만 17~18세 / 고2-고3 · 모의/기출 수능·심화 교재. 유학·심화·고난도 도전 목적에 적합, 기출분석·추론/논리 보강."
IH-ENG-0632,실전,모의/기출,해외원서(특목고),Cambridge IELTS / ETS TOEFL,IELTS·TOEFL Official,고1-고3,만 16~18세,"만 16~18세 / 고1-고3 · 모의/기출 수능·심화 교재. 유학·심화·고난도 도전 목적에 적합, 듣기·영작 보강."
